entry,ep,exit,xp,pnl,bars,type
2023-02-12 03:00:00,1879.9453783751344,2023-02-14 01:00:00,1850.060056469962,-1.5896909691601064,46,LONG
2023-02-14 17:00:00,1859.4152155137067,2023-02-17 02:00:00,1894.7699568306864,-1.901390341544136,57,SHORT
2023-02-18 14:00:00,1884.248708786738,2023-02-20 17:00:00,1849.7765157219785,-1.8294927258809712,51,LONG
2023-02-21 10:00:00,1866.9384246653667,2023-02-24 21:00:00,1896.750873362632,-1.5968629871983602,83,SHORT
2023-02-25 19:00:00,1886.837428809696,2023-02-27 23:00:00,1850.289037713895,-1.9370185548448333,52,LONG
2023-03-01 08:00:00,1860.9982640405835,2023-03-03 06:00:00,1890.5598710390852,-1.5884811700102177,46,SHORT
2023-03-04 10:00:00,1885.5100584661493,2023-03-07 08:00:00,1854.2071652295608,-1.660181715607139,70,LONG
2023-03-07 22:00:00,1867.8641544833067,2023-03-10 03:00:00,1897.3937766464576,-1.5809298600368196,53,SHORT
2023-03-10 15:00:00,1878.353674898768,2023-03-15 03:00:00,1848.9509688784824,-1.565344504243606,108,LONG
2023-03-15 19:00:00,1868.5421207780985,2023-03-17 02:00:00,1898.7048430604357,-1.6142382848601151,31,SHORT
2023-03-17 18:00:00,1885.88025953762,2023-03-21 12:00:00,1854.273757333597,-1.675954878056386,90,LONG
2023-03-22 11:00:00,1870.786515005502,2023-03-24 02:00:00,1907.0784881694128,-1.9399313001678382,39,SHORT
2023-03-24 22:00:00,1888.0464410983568,2023-03-29 18:00:00,1856.945328411511,-1.647264177927375,116,LONG
2023-03-30 14:00:00,1872.071007882736,2023-05-16 17:00:00,1838.967225100771,-1.7682973905677093,1131,LONG
2023-05-17 17:00:00,1858.31943784414,2023-05-19 11:00:00,1890.321361273754,-1.7220894738495438,42,SHORT
2023-05-19 23:00:00,1879.446286095827,2023-05-23 04:00:00,1839.616863910978,-2.119210454669952,77,LONG
2023-05-24 13:00:00,1861.0994984815532,2023-05-26 00:00:00,1890.4983391111648,-1.579649054421742,35,SHORT
2023-05-27 04:00:00,1878.457388932719,2023-05-29 17:00:00,1847.216437529259,-1.6631173849096434,61,LONG
2023-05-30 09:00:00,1863.8733029426207,2023-06-03 08:00:00,1895.3180634709404,-1.68706534283611,95,SHORT
2023-06-04 11:00:00,1877.678678530208,2023-06-05 23:00:00,1849.493053311159,-1.5010888466343881,36,LONG
2023-06-06 12:00:00,1858.245493605488,2023-06-10 09:00:00,1892.0204905203489,-1.8175745363616294,93,SHORT
2023-06-11 00:00:00,1877.7890195666007,2023-06-12 11:00:00,1842.8780339892369,-1.8591537821124005,35,LONG
2023-06-14 16:00:00,1844.700278919098,2023-06-16 11:00:00,1872.548223220988,-1.5096189131714832,43,SHORT
2023-06-17 13:00:00,1868.3561012426524,2023-06-19 15:00:00,1838.825505234964,-1.5805657169983445,50,LONG
2023-06-20 05:00:00,1851.575238977745,2023-06-23 20:00:00,1884.0486347453088,-1.7538253420094618,87,SHORT
2023-06-24 19:00:00,1868.4220079484555,2023-06-26 08:00:00,1839.9538633405648,-1.5236463971621175,37,LONG
2023-06-26 21:00:00,1855.048658820355,2023-07-18 23:00:00,1805.8460487582047,2.652362234715656,530,SHORT
2023-07-19 18:00:00,1820.9800204226856,2023-07-21 01:00:00,1850.6876474482904,-1.631408730047958,31,SHORT
2023-07-21 18:00:00,1837.6313418908308,2023-07-25 14:00:00,1809.586092409283,-1.5261629926648135,92,LONG
2023-07-27 09:00:00,1818.659656574607,2023-07-30 07:00:00,1866.5918051600472,2.6355755136570775,70,LONG
2023-07-30 22:00:00,1846.1420738783893,2023-08-02 15:00:00,1792.3437834587469,2.914092646543857,65,SHORT
2023-08-04 01:00:00,1819.5616315226796,2023-08-22 11:00:00,1790.8252443131846,-1.5793027678566325,442,LONG
2023-08-22 23:00:00,1806.149135769976,2023-08-25 05:00:00,1846.019800501096,-2.2074957123694365,54,SHORT
